Comando,Latencia_escucha_s,Latencia_total_s,Texto_reconocido,FPS_promedio,CPU_%,Memoria_%
letras,2.158270835876465,2.789444923400879,letras,59.971041834109634,2.1,67.4
adivina,2.175213098526001,2.768488883972168,adivina,60.996834521854495,2.6,67.0
animales,2.0268139839172363,2.7055718898773193,animales,61.1276242268887,22.1,67.3
